,ID,Date,Region,City,Category,Product,Qty,UnitPrice,TotalPrice
,ID07400,28-may,East,Boston,Bars,Carrot,58,1.77,102.66
,ID07401,31-may,East,Boston,Crackers,Whole Wheat,33,3.49,115.17
,ID07402,3-jun,West,Los Angeles,Cookies,Oatmeal Raisin,288,2.84,817.92
,ID07403,6-jun,East,New York,Cookies,Chocolate Chip,76,1.87,142.12
,ID07404,9-jun,West,San Diego,Bars,Carrot,42,1.77,74.34
,ID07405,12-jun,West,San Diego,Crackers,Whole Wheat,20,3.49,69.8
,ID07406,15-jun,East,Boston,Bars,Carrot,75,1.77,132.75
,ID07407,18-jun,East,Boston,Crackers,Whole Wheat,38,3.49,132.62
,ID07408,21-jun,West,Los Angeles,Bars,Carrot,306,1.77,541.62
,ID07409,24-jun,West,Los Angeles,Snacks,Potato Chips,28,1.68,47.04
,ID07410,27-jun,East,New York,Bars,Bran,110,1.87,205.7
,ID07411,30-jun,East,New York,Cookies,Oatmeal Raisin,51,2.84,144.84
,ID07412,3-jul,West,San Diego,Bars,Carrot,52,1.77,92.04
,ID07413,6-jul,West,San Diego,Crackers,Whole Wheat,28,3.49,97.72
,ID07414,9-jul,East,Boston,Bars,Carrot,136,1.77,240.72
,ID07415,12-jul,East,Boston,Crackers,Whole Wheat,42,3.49,146.58
,ID07416,15-jul,West,Los Angeles,Cookies,Chocolate Chip,75,1.87,140.25
,ID07417,18-jul,East,New York,Bars,Bran,72,1.87,134.64
,ID07418,21-jul,East,New York,Cookies,Oatmeal Raisin,56,2.84,159.04
,ID07419,24-jul,West,San Diego,Bars,Bran,51,1.87,95.37
,ID07420,27-jul,West,San Diego,Snacks,Potato Chips,31,1.68,52.08
,ID07421,30-jul,East,Boston,Bars,Bran,56,1.87,104.72
,ID07422,2-ago,East,Boston,Cookies,Oatmeal Raisin,137,2.84,389.08
,ID07423,5-ago,West,Los Angeles,Cookies,Chocolate Chip,107,1.87,200.09
,ID07424,8-ago,East,New York,Bars,Carrot,24,1.77,42.48
,ID07425,11-ago,East,New York,Crackers,Whole Wheat,30,3.49,104.7
,ID07426,14-ago,West,San Diego,Cookies,Chocolate Chip,70,1.87,130.9
,ID07427,17-ago,East,Boston,Cookies,Arrowroot,31,2.18,67.58
,ID07428,20-ago,East,Boston,Bars,Carrot,109,1.77,192.93
,ID07429,23-ago,East,Boston,Crackers,Whole Wheat,21,3.49,73.29
,ID07430,26-ago,West,Los Angeles,Cookies,Chocolate Chip,80,1.87,149.6
,ID07431,29-ago,East,New York,Bars,Bran,75,1.87,140.25
,ID07432,1-sept,East,New York,Cookies,Oatmeal Raisin,74,2.84,210.16
,ID07433,4-sept,West,San Diego,Bars,Carrot,45,1.77,79.65
,ID07434,7-sept,East,Boston,Cookies,Arrowroot,28,2.18,61.04
,ID07435,10-sept,East,Boston,Bars,Carrot,143,1.77,253.11
,ID07436,13-sept,East,Boston,Snacks,Pretzels,27,3.15,85.05
,ID07437,16-sept,West,Los Angeles,Bars,Carrot,133,1.77,235.41
,ID07438,19-sept,East,New York,Cookies,Arrowroot,110,2.18,239.8
,ID07439,22-sept,East,New York,Cookies,Chocolate Chip,65,1.87,121.55
,ID07440,25-sept,West,San Diego,Bars,Bran,33,1.87,61.71
,ID07441,28-sept,East,Boston,Cookies,Arrowroot,81,2.18,176.58
,ID07442,1-oct,East,Boston,Bars,Carrot,77,1.77,136.29
,ID07443,4-oct,East,Boston,Crackers,Whole Wheat,38,3.49,132.62
,ID07444,7-oct,West,Los Angeles,Bars,Carrot,40,1.77,70.8
,ID07445,10-oct,West,Los Angeles,Snacks,Potato Chips,114,1.68,191.52
,ID07446,13-oct,East,New York,Cookies,Arrowroot,224,2.18,488.32
,ID07447,16-oct,East,New York,Bars,Carrot,141,1.77,249.57
,ID07448,19-oct,East,New York,Crackers,Whole Wheat,32,3.49,111.68
,ID07449,22-oct,West,San Diego,Bars,Carrot,20,1.77,35.4
,ID07450,25-oct,East,Boston,Cookies,Arrowroot,40,2.18,87.2
,ID07451,28-oct,East,Boston,Cookies,Chocolate Chip,49,1.87,91.63
,ID07452,31-oct,East,Boston,Crackers,Whole Wheat,46,3.49,160.54
,ID07453,3-nov,West,Los Angeles,Bars,Carrot,39,1.77,69.03
,ID07454,6-nov,West,Los Angeles,Snacks,Potato Chips,62,1.68,104.16
,ID07455,9-nov,East,New York,Bars,Carrot,90,1.77,159.3
,ID07456,12-nov,West,San Diego,Cookies,Arrowroot,103,2.18,224.54
,ID07457,15-nov,West,San Diego,Cookies,Oatmeal Raisin,32,2.84,90.88
,ID07458,18-nov,East,Boston,Bars,Bran,66,1.87,123.42
,ID07459,21-nov,East,Boston,Cookies,Oatmeal Raisin,97,2.84,275.48
,ID07460,24-nov,West,Los Angeles,Bars,Carrot,30,1.77,53.1
,ID07461,27-nov,West,Los Angeles,Snacks,Potato Chips,29,1.68,48.72
,ID07462,30-nov,East,New York,Bars,Carrot,92,1.77,162.84
,ID07463,3-dic,West,San Diego,Cookies,Arrowroot,139,2.18,303.02
,ID07464,6-dic,West,San Diego,Cookies,Oatmeal Raisin,29,2.84,82.36
,ID07465,9-dic,East,Boston,Bars,Banana,30,2.27,68.1
,ID07466,12-dic,East,Boston,Cookies,Chocolate Chip,36,1.87,67.32
,ID07467,15-dic,East,Boston,Crackers,Whole Wheat,41,3.49,143.09
,ID07468,18-dic,West,Los Angeles,Bars,Carrot,44,1.77,77.88
,ID07469,21-dic,West,Los Angeles,Snacks,Potato Chips,29,1.68,48.72
,ID07470,24-dic,East,New York,Cookies,Arrowroot,237,2.18,516.66
,ID07471,27-dic,East,New York,Cookies,Chocolate Chip,65,1.87,121.55
,ID07472,30-dic,West,San Diego,Cookies,Arrowroot,83,2.18,180.94
,ID07473,2-ene,East,Boston,Cookies,Arrowroot,32,2.18,69.76
,ID07474,5-ene,East,Boston,Bars,Carrot,63,1.77,111.51
,ID07475,8-ene,East,Boston,Snacks,Pretzels,29,3.15,91.35
,ID07476,11-ene,West,Los Angeles,Bars,Bran,77,1.87,143.99
,ID07477,14-ene,West,Los Angeles,Cookies,Oatmeal Raisin,80,2.84,227.2
,ID07478,17-ene,East,New York,Bars,Carrot,102,1.77,180.54
,ID07479,20-ene,East,New York,Crackers,Whole Wheat,31,3.49,108.19
,ID07480,23-ene,West,San Diego,Bars,Carrot,56,1.77,99.12
,ID07481,26-ene,East,Boston,Cookies,Arrowroot,52,2.18,113.36
,ID07482,29-ene,East,Boston,Bars,Carrot,51,1.77,90.27
,ID07483,1-feb,East,Boston,Snacks,Potato Chips,24,1.68,40.32
,ID07484,4-feb,West,Los Angeles,Cookies,Arrowroot,58,2.18,126.44
,ID07485,7-feb,West,Los Angeles,Cookies,Chocolate Chip,34,1.87,63.58
,ID07486,10-feb,East,New York,Bars,Carrot,34,1.77,60.18
,ID07487,13-feb,East,New York,Snacks,Potato Chips,21,1.68,35.28
,ID07488,16-feb,West,San Diego,Cookies,Oatmeal Raisin,29,2.84,82.36
,ID07489,19-feb,East,Boston,Bars,Carrot,68,1.77,120.36
,ID07490,22-feb,East,Boston,Snacks,Pretzels,31,3.15,97.65
,ID07491,25-feb,West,Los Angeles,Cookies,Arrowroot,30,2.18,65.4
,ID07492,28-feb,West,Los Angeles,Cookies,Chocolate Chip,232,1.87,433.84
,ID07493,2-mar,East,New York,Bars,Bran,68,1.87,127.16
,ID07494,5-mar,East,New York,Cookies,Oatmeal Raisin,97,2.84,275.48
,ID07495,8-mar,West,San Diego,Bars,Bran,86,1.87,160.82
,ID07496,11-mar,West,San Diego,Snacks,Potato Chips,41,1.68,68.88
,ID07497,14-mar,East,Boston,Bars,Carrot,93,1.77,164.61
,ID07498,17-mar,East,Boston,Snacks,Potato Chips,47,1.68,78.96
,ID07499,20-mar,West,Los Angeles,Bars,Carrot,103,1.77,182.31
,ID07500,23-mar,West,Los Angeles,Snacks,Potato Chips,33,1.68,55.44
,ID07501,26-mar,East,New York,Bars,Bran,57,1.87,106.59
,ID07502,29-mar,East,New York,Cookies,Oatmeal Raisin,65,2.84,184.6
,ID07503,1-abr,West,San Diego,Bars,Carrot,118,1.77,208.86
,ID07504,4-abr,East,Boston,Cookies,Arrowroot,36,2.18,78.48
,ID07505,7-abr,East,Boston,Cookies,Oatmeal Raisin,123,2.84,349.32
,ID07506,10-abr,West,Los Angeles,Bars,Carrot,90,1.77,159.3
,ID07507,13-abr,West,Los Angeles,Crackers,Whole Wheat,21,3.49,73.29
,ID07508,16-abr,East,New York,Bars,Carrot,48,1.77,84.96
,ID07509,19-abr,East,New York,Snacks,Potato Chips,24,1.68,40.32
,ID07510,22-abr,West,San Diego,Cookies,Chocolate Chip,67,1.87,125.29
,ID07511,25-abr,East,Boston,Bars,Bran,27,1.87,50.49
,ID07512,28-abr,East,Boston,Cookies,Oatmeal Raisin,129,2.84,366.36
,ID07513,1-may,West,Los Angeles,Cookies,Arrowroot,77,2.18,167.86
,ID07514,4-may,West,Los Angeles,Cookies,Chocolate Chip,58,1.87,108.46
,ID07515,7-may,East,New York,Bars,Bran,47,1.87,87.89
,ID07516,10-may,East,New York,Cookies,Oatmeal Raisin,33,2.84,93.72
,ID07517,13-may,West,San Diego,Cookies,Chocolate Chip,82,1.87,153.34
,ID07518,16-may,East,Boston,Bars,Carrot,58,1.77,102.66
,ID07519,19-may,East,Boston,Snacks,Pretzels,30,3.15,94.5
,ID07520,22-may,West,Los Angeles,Cookies,Chocolate Chip,43,1.87,80.41
,ID07521,25-may,East,New York,Bars,Carrot,84,1.77,148.68
,ID07522,28-may,West,San Diego,Cookies,Arrowroot,36,2.18,78.48
,ID07523,31-may,West,San Diego,Cookies,Oatmeal Raisin,44,2.84,124.96
,ID07524,3-jun,East,Boston,Bars,Bran,27,1.87,50.49
,ID07525,6-jun,East,Boston,Cookies,Oatmeal Raisin,120,2.84,340.8
,ID07526,9-jun,East,Boston,Crackers,Whole Wheat,26,3.49,90.74
,ID07527,12-jun,West,Los Angeles,Bars,Carrot,73,1.77,129.21
,ID07528,15-jun,East,New York,Bars,Bran,38,1.87,71.06
,ID07529,18-jun,East,New York,Cookies,Oatmeal Raisin,40,2.84,113.6
,ID07530,21-jun,West,San Diego,Bars,Carrot,41,1.77,72.57
,ID07531,24-jun,East,Boston,Bars,Banana,27,2.27,61.29
,ID07532,27-jun,East,Boston,Cookies,Chocolate Chip,38,1.87,71.06
,ID07533,30-jun,East,Boston,Crackers,Whole Wheat,34,3.49,118.66
,ID07534,3-jul,West,Los Angeles,Bars,Bran,65,1.87,121.55
,ID07535,6-jul,West,Los Angeles,Cookies,Oatmeal Raisin,60,2.84,170.4
,ID07536,9-jul,East,New York,Cookies,Arrowroot,37,2.18,80.66
,ID07537,12-jul,East,New York,Cookies,Chocolate Chip,40,1.87,74.8
,ID07538,15-jul,West,San Diego,Bars,Bran,26,1.87,48.62
,ID07539,18-jul,East,Boston,Bars,Banana,22,2.27,49.94
,ID07540,21-jul,East,Boston,Cookies,Chocolate Chip,32,1.87,59.84
,ID07541,24-jul,East,Boston,Crackers,Whole Wheat,23,3.49,80.27
,ID07542,27-jul,West,Los Angeles,Cookies,Arrowroot,20,2.18,43.6
,ID07543,30-jul,West,Los Angeles,Cookies,Chocolate Chip,64,1.87,119.68
,ID07544,2-ago,East,New York,Bars,Carrot,71,1.77,125.67
,ID07545,5-ago,West,San Diego,Cookies,Arrowroot,90,2.18,196.2
,ID07546,8-ago,West,San Diego,Cookies,Oatmeal Raisin,38,2.84,107.92
,ID07547,11-ago,East,Boston,Bars,Carrot,55,1.77,97.35
,ID07548,14-ago,East,Boston,Snacks,Pretzels,22,3.15,69.3
,ID07549,17-ago,West,Los Angeles,Bars,Carrot,34,1.77,60.18
,ID07550,20-ago,East,New York,Bars,Bran,39,1.87,72.93
,ID07551,23-ago,East,New York,Cookies,Oatmeal Raisin,41,2.84,116.44
,ID07552,26-ago,West,San Diego,Bars,Carrot,41,1.77,72.57
,ID07553,29-ago,East,Boston,Cookies,Arrowroot,136,2.18,296.48
,ID07554,1-sept,East,Boston,Bars,Carrot,25,1.77,44.25
,ID07555,4-sept,East,Boston,Snacks,Pretzels,26,3.15,81.9
,ID07556,7-sept,West,Los Angeles,Bars,Bran,50,1.87,93.5
,ID07557,10-sept,West,Los Angeles,Cookies,Oatmeal Raisin,79,2.84,224.36
,ID07558,13-sept,East,New York,Bars,Carrot,30,1.77,53.1
,ID07559,16-sept,East,New York,Snacks,Potato Chips,20,1.68,33.6
,ID07560,19-sept,West,San Diego,Bars,Carrot,49,1.77,86.73
,ID07561,22-sept,East,Boston,Cookies,Arrowroot,40,2.18,87.2
,ID07562,25-sept,East,Boston,Bars,Carrot,31,1.77,54.87
,ID07563,28-sept,East,Boston,Snacks,Pretzels,21,3.15,66.15
,ID07564,1-oct,West,Los Angeles,Bars,Bran,43,1.87,80.41
,ID07565,4-oct,West,Los Angeles,Cookies,Oatmeal Raisin,47,2.84,133.48
,ID07566,7-oct,East,New York,Cookies,Arrowroot,175,2.18,381.5
,ID07567,10-oct,East,New York,Cookies,Chocolate Chip,23,1.87,43.01
,ID07568,13-oct,West,San Diego,Bars,Carrot,40,1.77,70.8
,ID07569,16-oct,East,Boston,Cookies,Arrowroot,87,2.18,189.66
,ID07570,19-oct,East,Boston,Bars,Carrot,43,1.77,76.11
,ID07571,22-oct,East,Boston,Crackers,Whole Wheat,30,3.49,104.7
,ID07572,25-oct,West,Los Angeles,Bars,Carrot,35,1.77,61.95
,ID07573,28-oct,East,New York,Bars,Bran,57,1.87,106.59
,ID07574,31-oct,East,New York,Snacks,Potato Chips,25,1.68,42
,ID07575,3-nov,West,San Diego,Cookies,Chocolate Chip,24,1.87,44.88
,ID07576,6-nov,East,Boston,Bars,Bran,83,1.87,155.21
,ID07577,9-nov,East,Boston,Cookies,Oatmeal Raisin,124,2.84,352.16
,ID07578,12-nov,West,Los Angeles,Bars,Carrot,137,1.77,242.49
,ID07579,15-nov,East,New York,Cookies,Arrowroot,146,2.18,318.28
,ID07580,18-nov,East,New York,Cookies,Chocolate Chip,34,1.87,63.58
,ID07581,21-nov,West,San Diego,Bars,Carrot,20,1.77,35.4
,ID07582,24-nov,East,Boston,Cookies,Arrowroot,139,2.18,303.02
,ID07583,27-nov,East,Boston,Cookies,Chocolate Chip,211,1.87,394.57
,ID07584,30-nov,East,Boston,Crackers,Whole Wheat,20,3.49,69.8
,ID07585,3-dic,West,Los Angeles,Bars,Bran,42,1.87,78.54
,ID07586,6-dic,West,Los Angeles,Cookies,Oatmeal Raisin,100,2.84,284
,ID07587,9-dic,East,New York,Bars,Carrot,38,1.77,67.26
,ID07588,12-dic,East,New York,Crackers,Whole Wheat,25,3.49,87.25
,ID07589,15-dic,West,San Diego,Cookies,Chocolate Chip,96,1.87,179.52
,ID07590,18-dic,East,Boston,Cookies,Arrowroot,34,2.18,74.12
,ID07591,21-dic,East,Boston,Cookies,Chocolate Chip,245,1.87,458.15
,ID07592,24-dic,East,Boston,Crackers,Whole Wheat,30,3.49,104.7
,ID07593,27-dic,West,Los Angeles,Bars,Bran,30,1.87,56.1
,ID07594,30-dic,West,Los Angeles,Cookies,Oatmeal Raisin,44,2.84,124.96
